Source,Target,Weight
保羅·穆哈迪,伊如蘭,49
保羅·穆哈迪,保羅·亞崔迪,156
保羅·穆哈迪,葛尼·哈萊克,11
保羅·穆哈迪,傑西卡,29
保羅·穆哈迪,公爵萊托·亞崔迪,23
保羅·穆哈迪,沙德姆四世,21
保羅·穆哈迪,男爵弗拉迪米爾·哈肯尼,9
保羅·穆哈迪,史帝加,83
保羅·穆哈迪,加妮,41
保羅·穆哈迪,阿麗亞·亞崔迪,44
保羅·穆哈迪,特雷亞拉克斯,11
保羅·穆哈迪,甘尼瑪,8
保羅·穆哈迪,法拉肯,11
保羅·亞崔迪,保羅·穆哈迪,156
保羅·亞崔迪,傑西卡,281
保羅·亞崔迪,公爵萊托·亞崔迪,136
保羅·亞崔迪,男爵弗拉迪米爾·哈肯尼,22
保羅·亞崔迪,菲得·羅薩·哈肯尼,54
保羅·亞崔迪,葛尼·哈萊克,193
保羅·亞崔迪,瑟菲·哈瓦特,20
保羅·亞崔迪,沙德姆四世,45
保羅·亞崔迪,夏杜特．梅帕絲,6
保羅·亞崔迪,阿麗亞·亞崔迪,138
保羅·亞崔迪,史帝加,323
保羅·亞崔迪,加妮,204
保羅·亞崔迪,伊如蘭,59
保羅·亞崔迪,特雷亞拉克斯,43
保羅·亞崔迪,甘尼瑪,19
保羅·亞崔迪,法拉肯,17
伊如蘭,保羅·穆哈迪,49
伊如蘭,史帝加,29
伊如蘭,保羅·亞崔迪,59
伊如蘭,沙德姆四世,22
伊如蘭,加妮,34
伊如蘭,特雷亞拉克斯,4
伊如蘭,阿麗亞·亞崔迪,92
伊如蘭,傑西卡,17
伊如蘭,法拉肯,10
伊如蘭,甘尼瑪,35
傑西卡,公爵萊托·亞崔迪,86
傑西卡,保羅·亞崔迪,281
傑西卡,男爵弗拉迪米爾·哈肯尼,29
傑西卡,保羅·穆哈迪,29
傑西卡,葛尼·哈萊克,62
傑西卡,夏杜特．梅帕絲,35
傑西卡,沙德姆四世,5
傑西卡,史帝加,98
傑西卡,加妮,74
傑西卡,阿麗亞·亞崔迪,235
傑西卡,伊如蘭,17
傑西卡,甘尼瑪,72
傑西卡,特雷亞拉克斯,6
傑西卡,法拉肯,90
傑西卡,泰卡尼克,14
傑西卡,文希亞,11
公爵萊托·亞崔迪,傑西卡,86
公爵萊托·亞崔迪,瑟菲·哈瓦特,32
公爵萊托·亞崔迪,保羅·亞崔迪,136
公爵萊托·亞崔迪,男爵弗拉迪米爾·哈肯尼,92
公爵萊托·亞崔迪,菲得·羅薩·哈肯尼,8
公爵萊托·亞崔迪,保羅·穆哈迪,23
公爵萊托·亞崔迪,葛尼·哈萊克,52
公爵萊托·亞崔迪,惠靈頓·尤因,6
公爵萊托·亞崔迪,沙德姆四世,6
公爵萊托·亞崔迪,夏杜特．梅帕絲,6
公爵萊托·亞崔迪,史帝加,26
公爵萊托·亞崔迪,阿麗亞·亞崔迪,16
公爵萊托·亞崔迪,甘尼瑪,14
公爵萊托·亞崔迪,法拉肯,6
瑟菲·哈瓦特,公爵萊托·亞崔迪,32
瑟菲·哈瓦特,葛尼·哈萊克,4
瑟菲·哈瓦特,保羅·亞崔迪,20
瑟菲·哈瓦特,菲得·羅薩·哈肯尼,6
瑟菲·哈瓦特,男爵弗拉迪米爾·哈肯尼,4
男爵弗拉迪米爾·哈肯尼,公爵萊托·亞崔迪,92
男爵弗拉迪米爾·哈肯尼,菲得·羅薩·哈肯尼,83
男爵弗拉迪米爾·哈肯尼,傑西卡,29
男爵弗拉迪米爾·哈肯尼,保羅·亞崔迪,22
男爵弗拉迪米爾·哈肯尼,沙德姆四世,10
男爵弗拉迪米爾·哈肯尼,葛尼·哈萊克,4
男爵弗拉迪米爾·哈肯尼,保羅·穆哈迪,9
男爵弗拉迪米爾·哈肯尼,瑟菲·哈瓦特,4
男爵弗拉迪米爾·哈肯尼,阿麗亞·亞崔迪,25
男爵弗拉迪米爾·哈肯尼,甘尼瑪,4
菲得·羅薩·哈肯尼,男爵弗拉迪米爾·哈肯尼,83
菲得·羅薩·哈肯尼,公爵萊托·亞崔迪,8
菲得·羅薩·哈肯尼,保羅·亞崔迪,54
菲得·羅薩·哈肯尼,瑟菲·哈瓦特,6
沙德姆四世,男爵弗拉迪米爾·哈肯尼,10
沙德姆四世,公爵萊托·亞崔迪,6
沙德姆四世,保羅·亞崔迪,45
沙德姆四世,保羅·穆哈迪,21
沙德姆四世,傑西卡,5
沙德姆四世,史帝加,17
沙德姆四世,阿麗亞·亞崔迪,13
沙德姆四世,伊如蘭,22
沙德姆四世,特雷亞拉克斯,5
沙德姆四世,加妮,14
阿麗亞·亞崔迪,保羅·亞崔迪,138
阿麗亞·亞崔迪,加妮,13
阿麗亞·亞崔迪,傑西卡,235
阿麗亞·亞崔迪,保羅·穆哈迪,44
阿麗亞·亞崔迪,公爵萊托·亞崔迪,16
阿麗亞·亞崔迪,男爵弗拉迪米爾·哈肯尼,25
阿麗亞·亞崔迪,沙德姆四世,13
阿麗亞·亞崔迪,伊如蘭,92
阿麗亞·亞崔迪,史帝加,91
阿麗亞·亞崔迪,特雷亞拉克斯,18
阿麗亞·亞崔迪,甘尼瑪,104
阿麗亞·亞崔迪,葛尼·哈萊克,12
阿麗亞·亞崔迪,文希亞,8
阿麗亞·亞崔迪,法拉肯,57
阿麗亞·亞崔迪,泰卡尼克,4
葛尼·哈萊克,保羅·亞崔迪,193
葛尼·哈萊克,保羅·穆哈迪,11
葛尼·哈萊克,瑟菲·哈瓦特,4
葛尼·哈萊克,傑西卡,62
葛尼·哈萊克,公爵萊托·亞崔迪,52
葛尼·哈萊克,男爵弗拉迪米爾·哈肯尼,4
葛尼·哈萊克,加妮,9
葛尼·哈萊克,史帝加,29
葛尼·哈萊克,阿麗亞·亞崔迪,12
葛尼·哈萊克,甘尼瑪,12
葛尼·哈萊克,法拉肯,4
惠靈頓·尤因,公爵萊托·亞崔迪,6
夏杜特．梅帕絲,傑西卡,35
夏杜特．梅帕絲,保羅·亞崔迪,6
夏杜特．梅帕絲,公爵萊托·亞崔迪,6
史帝加,公爵萊托·亞崔迪,26
史帝加,保羅·亞崔迪,323
史帝加,傑西卡,98
史帝加,加妮,57
史帝加,保羅·穆哈迪,83
史帝加,伊如蘭,29
史帝加,葛尼·哈萊克,29
史帝加,沙德姆四世,17
史帝加,阿麗亞·亞崔迪,91
史帝加,甘尼瑪,43
史帝加,法拉肯,11
特雷亞拉克斯,保羅·穆哈迪,11
特雷亞拉克斯,保羅·亞崔迪,43
特雷亞拉克斯,伊如蘭,4
特雷亞拉克斯,沙德姆四世,5
特雷亞拉克斯,阿麗亞·亞崔迪,18
特雷亞拉克斯,加妮,5
特雷亞拉克斯,法拉肯,18
特雷亞拉克斯,傑西卡,6
加妮,史帝加,57
加妮,保羅·亞崔迪,204
加妮,傑西卡,74
加妮,葛尼·哈萊克,9
加妮,保羅·穆哈迪,41
加妮,阿麗亞·亞崔迪,13
加妮,伊如蘭,34
加妮,沙德姆四世,14
加妮,特雷亞拉克斯,5
加妮,甘尼瑪,9
甘尼瑪,保羅·亞崔迪,19
甘尼瑪,史帝加,43
甘尼瑪,保羅·穆哈迪,8
甘尼瑪,阿麗亞·亞崔迪,104
甘尼瑪,葛尼·哈萊克,12
甘尼瑪,傑西卡,72
甘尼瑪,公爵萊托·亞崔迪,14
甘尼瑪,加妮,9
甘尼瑪,法拉肯,53
甘尼瑪,男爵弗拉迪米爾·哈肯尼,4
甘尼瑪,伊如蘭,35
法拉肯,泰卡尼克,73
法拉肯,文希亞,15
法拉肯,保羅·穆哈迪,11
法拉肯,阿麗亞·亞崔迪,57
法拉肯,特雷亞拉克斯,18
法拉肯,史帝加,11
法拉肯,甘尼瑪,53
法拉肯,伊如蘭,10
法拉肯,傑西卡,90
法拉肯,葛尼·哈萊克,4
法拉肯,保羅·亞崔迪,17
法拉肯,公爵萊托·亞崔迪,6
泰卡尼克,法拉肯,73
泰卡尼克,文希亞,10
泰卡尼克,傑西卡,14
泰卡尼克,阿麗亞·亞崔迪,4
文希亞,泰卡尼克,10
文希亞,法拉肯,15
文希亞,阿麗亞·亞崔迪,8
文希亞,傑西卡,11
